A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20161201010321;2;2;2;10;1;4;6;4;8.2496778633
2;20161201015408;2;2;2;10;7;1;6;4;33.642721845
1;20161210018830;3;2;2;98;0;1;1;1;106.51949548
1;20161201014267;2;2;2;04;1;1;6;4;3.4070119163
2;20161201012111;2;2;2;07;8;4;6;3;31.297389526
1;20161201009435;2;2;2;16;1;1;6;3;21.543294071
1;20161201023898;2;2;2;10;1;1;1;5;36.667308097
1;20161201008259;2;2;2;05;1;1;1;5;56.02114894
1;20161201013583;2;2;2;05;7;1;6;5;140.51615843
1;20161202030990;3;3;2;09;0;1;1;1;49.783314883
1;20161201018261;2;2;2;10;7;1;6;4;11.230791784
1;20161201014711;2;2;2;14;7;1;6;4;8.1043125437
1;20161201021749;2;2;2;09;1;1;6;3;49.229097494
1;20161205009324;2;2;2;09;6;1;6;3;33.696486626
2;20161201024608;3;2;2;98;0;5;0;1;106.51949548
1;20161201009316;2;2;2;09;8;4;6;3;33.747636654
2;20161201014506;2;2;2;01;1;1;6;4;129.48434872
1;20161203009323;2;2;2;09;2;1;6;4;33.696486626
1;20161201010180;2;2;2;10;1;1;6;3;8.1868676409
1;20161233022305;2;2;2;04;1;2;6;5;7.10219522
1;20161201010220;2;2;2;10;1;1;6;3;8.1868676409
2;20161201018084;2;2;2;04;1;1;6;4;7.0833819112
1;20161201021732;2;2;2;09;1;1;6;3;49.229097494
1;20161201018241;2;2;2;10;7;1;6;6;11.230791784
1;20161201022315;2;2;2;04;1;1;6;3;7.0833819112
1;20161202021877;2;2;2;09;1;1;6;3;49.229097494
1;20161202006587;2;2;2;05;1;1;1;5;55.617461878
1;20161201009192;2;2;2;09;1;1;6;4;21.881237455
1;20161201018367;2;2;2;10;1;2;6;4;12.286746075
1;20161201018251;2;2;2;10;1;1;6;3;12.254199188
1;20161201010307;2;2;2;10;6;1;6;3;7.54924791
1;20161205022305;2;2;2;04;1;2;6;5;7.10219522
1;20161201013498;2;2;2;05;6;1;6;4;141.37959921
1;20161201018271;2;2;2;10;1;1;6;4;12.254199188
1;20161203009326;2;2;2;09;6;4;6;3;33.955008434
1;20161201013470;2;2;2;05;7;1;6;6;140.51615843
1;20161203006920;2;2;2;09;1;1;6;4;37.453309576
2;20161204030799;2;2;2;09;1;1;6;4;37.453309576
1;20161202018864;3;2;2;98;0;2;6;1;106.51949548
2;20161205000412;2;2;2;13;1;2;6;3;27.266669417
1;20161201029426;2;2;2;16;8;4;6;4;41.071502814
2;20161201030601;2;2;2;01;1;1;1;4;82.313954535
2;20161201028912;2;2;2;10;8;4;6;4;11.316955206
1;20161203019209;2;2;2;10;2;2;6;5;65.187884754
2;20161203030799;2;2;2;09;1;1;6;4;37.453309576
1;20161215008250;2;2;2;05;1;1;1;5;56.02114894
1;20161222018830;3;2;2;98;0;1;1;1;106.51949548
1;20161203021753;2;2;2;09;1;1;1;3;49.173963792
1;20161201019056;2;2;2;10;1;1;6;6;70.506478351
1;20161201021870;2;2;2;09;1;1;1;3;49.173963792
1;20161203010198;2;2;2;10;1;1;6;3;8.1868676409
1;20161201008252;2;2;2;05;1;1;6;5;56.083959685
1;20161201021729;2;2;2;09;1;1;6;3;49.229097494
1;20161201009323;2;2;2;09;2;1;6;4;33.696486626
2;20161201010301;2;2;2;10;1;1;6;3;8.1868676409
1;20161201009327;2;2;2;09;2;1;6;3;33.696486626
1;20161205008312;2;2;2;05;1;1;6;4;56.083959685
1;20161206027662;2;2;2;10;8;1;6;4;33.642721845
1;20161203009778;2;2;2;13;1;1;6;3;47.135465597
2;20161207000411;3;2;2;98;0;5;0;1;33.046643667
1;20161201021727;2;2;2;09;1;1;1;3;49.173963792
1;20161201010322;2;2;2;10;8;1;6;3;7.5031427538
2;20161201027699;2;2;2;10;1;1;6;4;36.708419373
1;20161201027713;2;2;2;10;8;1;6;5;33.642721845
1;20161202013604;2;2;2;05;1;1;6;4;55.67982001
1;20161201018377;2;2;2;10;8;1;6;3;11.230791784
1;20161203007675;2;2;2;05;1;1;6;4;56.083959685
1;20161204022314;2;2;2;04;1;5;6;3;7.1377261138
1;20161221009197;2;2;2;09;1;2;6;3;21.939353547
1;20161205009197;2;2;2;09;1;2;6;3;21.939353547
1;20161201008322;2;2;2;05;1;1;1;5;56.02114894
1;20161202006607;2;2;2;05;1;1;1;5;55.617461878
1;20161203027730;2;2;2;10;8;1;6;6;33.642721845
2;20161201023646;2;2;2;01;1;1;6;4;129.48434872
1;20161201027646;2;2;2;10;7;1;6;4;33.642721845
1;20161213009197;2;2;2;09;1;2;6;3;21.939353547
1;20161201023602;2;2;2;01;2;1;6;3;176.66553209
1;20161205013495;2;2;2;05;1;1;6;5;55.67982001
1;20161203007662;2;2;2;05;1;1;6;5;56.083959685
