A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170300001725;01;13;7
20170300001726;01;04;30
20170300001727;01;13;5
20170300001823;01;13;20
20170300001824;01;04;40
20170300001826;01;01;18
20170300001833;01;13;3
20170300001837;01;13;4
20170300001841;01;13;3
20170300001843;01;13;2
20170300001886;01;01;40
20170300001887;01;01;34
20170300001888;01;13;8
20170300001889;01;10;2
20170300001890;01;10;7
20170300001893;01;10;41
20170300001898;01;10;8
20170300001899;01;10;41
20170300001901;01;10;41
20170300001904;01;10;38
20170300001906;01;10;8
20170300001907;01;10;14
20170300001911;01;10;5
20170300001915;01;09;1
20170300001915;02;09;1
20170300001915;03;10;2
20170300001917;01;10;25
20170300001917;02;14;12
20170300001917;03;14;8
20170300001917;04;10;25
20170300001920;01;14;60
20170300001932;01;09;1
20170300001953;01;01;45
20170300001954;01;01;70
20170300001955;01;01;60
20170300001956;01;13;3
20170300001956;02;01;60
20170300001957;01;06;1
20170300001957;02;16;2
20170300001957;03;07;1
20170300001958;01;06;1
20170300001961;01;07;2
20170300001962;01;03;10
20170300001964;01;10;24
20170300001964;02;03;7
20170300001964;03;06;5
20170300001964;04;07;2
20170300001964;05;07;2
20170300001964;06;11;2
20170300001964;07;01;5
20170300001964;08;17;2
20170300001964;09;10;9
20170300001964;10;04;9
20170300001964;11;01;2
20170300001965;01;01;70
20170300001966;01;10;70
20170300001968;01;01;41
20170300001970;01;01;1
20170300001970;02;06;1
20170300001971;01;10;41
20170300001972;01;14;60
20170300001975;01;01;41
20170300001977;01;10;63
20170300001977;02;13;2
20170300001981;01;09;3
20170300001981;02;10;4
20170300001983;01;10;41
20170300001986;01;09;6
20170300001987;01;09;10
20170300001989;01;10;35
20170300001990;01;10;60
20170300001992;01;09;10
20170300001996;01;14;60
20170300002000;01;09;7
20170300002003;01;10;7
20170300002008;01;15;3
20170300002010;01;01;69
20170300002010;02;07;1
20170300002012;01;12;60
20170300002014;01;07;1
20170300002015;01;13;1
20170300002015;02;01;28
20170300002015;03;07;1
20170300002015;04;16;1
20170300002017;01;07;2
20170300002017;02;11;1
20170300002017;03;01;8
20170300002018;01;16;2
20170300002018;02;16;5
20170300002018;03;16;2
20170300002019;01;16;2
20170300002020;01;16;1
20170300002021;01;06;9
20170300002023;01;16;8
20170300002024;01;16;9
20170300002025;01;09;1
20170300002025;02;16;1
20170300002025;03;16;1
20170300002025;04;06;3
20170300002026;01;16;2
20170300002027;01;16;2
20170300002028;01;16;2
20170300002029;01;16;3
20170300002030;01;16;14
20170300002031;01;16;6
20170300002034;01;16;5
20170300002107;01;16;1
20170300002112;01;16;10
20170300002114;01;16;14
20170300002117;01;06;1
20170300002118;01;16;7
20170300002119;01;16;2
20170300002120;01;16;2
20170300002121;01;15;7
20170300002122;01;16;6
20170300002122;02;16;1
20170300002123;01;16;5
20170300002123;02;15;25
20170300002124;01;16;3
20170300002124;02;16;2
20170300002126;01;16;2
20170300002128;01;09;5
20170300002128;02;16;2
20170300002215;01;09;4
20170300002216;01;09;3
20170300002219;01;09;4
20170300002220;01;09;4
20170300002222;01;09;4
20170300002223;01;09;3
20170300002224;01;09;3
20170300002225;01;09;3
20170300002245;01;05;60
20170300002262;01;13;4
20170300002326;01;04;5
20170300002327;01;04;7
20170300002328;01;04;7
20170300002329;01;04;7
20170300002385;01;04;4
20170300002386;01;04;7
20170300002387;01;04;4
20170300002388;01;04;7
20170300002459;01;10;14
20170300002460;01;14;4
20170300002461;01;10;5
